Team,Name,Goals,Assists,Expected Goals (xG),Shots on Target,Big Chances Missed,Goal Conversion %
Fenerbah√ße,Ibrahim Osman,0,0,0.05,1,0,0
As Roma,Jarzinho Malanga,0,0,0.19,1,0,0
Vfl Wolfsburg,Bruno Duarte,0,0,0.06,1,0,0
Benfica,Andrea Silva,0,0,0.05,0,0,0
Psv Eindhoven,Idjessei Metsoko,0,0,0.19,1,0,0
Fiorentina,Artem Stepanov,0,0,0.05,2,0,0
Real Sociedad,Petar Ratkov,0,0,0.17,1,0,0
Arsenal,Andreas Schjelderup,0,0,0.19,0,0,0
Lille,Romeo Vermant,0,0,0.05,1,0,0
Fc Barcelona,Marco Asensio,0,0,0.15,0,0,0
Schalke 04,Veljko Birman,0,0,0.99,3,2,0
Arsenal,Folarin Balogun,0,2,0.2,3,0,0
Lyon,Bradley Barcola,0,0,0.46,4,1,33.33
Fc Barcelona,Ferran Jutgl√†,0,0,0.6,4,1,0
Vfl Wolfsburg,MichaÎl Skor‰,0,0,0.8,3,1,0
Rb Salzburg,Noah Okafor,0,0,0.27,1,0,0
Bayern Munich,Mathys Tel,0,0,0.05,1,0,0
Napoli,Hirving Lozano,0,0,0.16,1,1,0
Manchester City,Kevin,0,0,0.17,1,1,0
Psv Eindhoven,Luuk De Jong,0,0,2.17,3,4,0
Real Madrid,Endrick,0,1,0.64,2,1,33.33
Hamburger Sv,Seedy Jatta,0,0,0.27,2,2,0
Borussia Dortmund,Julien Duranville,0,0,0.16,2,0,0
Tottenham,Arnaut Danjuma,0,2,0.33,1,0,0
Strasbourg,Ludovic Ajorque,0,2,0.54,3,2,0
Sparta Prague,Luk·ö HaraslÌn,0,0,0.26,2,0,0
Villarreal,Samuel Chukwueze,0,1,0.2,0,0,0
Wolves,Francisco Trincao,0,1,0.51,0,0,0
Manchester City,Jeremy Doku,0,1,0.16,1,0,0
Dinamo Zagreb,Bruno Petkovic,0,0,0.57,2,0,50
Watford,George Ilenikhena,0,0,1.61,6,2,37.5
Vfb Stuttgart,Silas Katompa Mvumpa,0,1,2.36,6,2,10
Borussia Mˆnchengladbach,Jonas Hofmann,0,1,0.02,0,0,0
Clermont Foot,Mohamed Bayo,0,0,0.86,0,0,0
Rb Leipzig,Yusuf Poulsen,0,0,0.12,0,0,0
Almer√≠a,Ebrima Colley,0,0,0.17,1,0,0
Werder Bremen,Adam Daghim,0,0,0.13,0,0,0
Hoffenheim,Maximilian Beier,0,0,0.55,3,2,0
Philadelphia Union,Julian Carranza,0,0,0.01,0,0,0
Arsenal,Ethan Nwaneri,0,0,0.08,1,0,0
Borussia Mˆnchengladbach,Conrad Harder,0,0,0.18,2,1,0
Jeonbuk Hyundai Motors,Yang Hyun-Jun,0,0,0.2,0,0,0
Sampdoria,Samuel Iling Junior,0,0,0.09,1,0,0
Real Madrid,Amady Camara,0,0,0.08,1,1,0
Olympique Lyonnais,Nene Dorgetes,0,1,0.22,1,0,0
Borussia Mˆnchengladbach,Moma BaldÈ,0,0,0.24,0,0,0
Liverpool,Darwin Nunez,0,1,2.09,7,2,9.09
Real Madrid,Rodrygo,0,1,0.64,1,0,0
Bayer Leverkusen,Amine Adli,0,0,0.18,2,0,0
Paris Saint-Germain,Randal Kolo Muani,0,0,2.69,4,2,16.67
Real Sociedad,Abel Ruiz,0,0,0.86,0,0,0
Juventus,Min-Su Kim,0,0,0,1,0,0
